size,recipe,n_train,rate_train,lift_train,n_val,rate_val,lift_val,n_test,rate_test,lift_test,avg_oos_rate,min_oos_rate
4,atr_14_q1 & macd_hist_q1 & range_20_q1 & vol_5_20_q4,79,0.22784810126582278,2.491308016877637,27,0.2962962962962963,3.398665746491833,40,0.275,2.8558885754583923,0.28564814814814815,0.275
4,bb_width_q1 & dist_ema200_q1 & pos_in_range_20_q1 & vol_5_20_q4,82,0.17073170731707318,1.8667931345980129,44,0.2727272727272727,3.1283173348390734,31,0.3225806451612903,3.3500159242913687,0.2976539589442815,0.2727272727272727
4,atr_14_q1 & bb_width_q1 & macd_hist_q1 & vol_5_20_q4,83,0.2289156626506024,2.5029808121374386,28,0.2857142857142857,3.2772848269742676,45,0.26666666666666666,2.7693464974141984,0.2761904761904762,0.26666666666666666
4,atr_ratio_q2 & bb_pos_q1 & bb_width_q1 & vol_5_20_q4,99,0.1919191919191919,2.098458660680883,40,0.25,2.8676242236024843,37,0.24324324324324326,2.5260930888575457,0.24662162162162163,0.24324324324324326
4,bb_pos_q1 & bb_width_q1 & dist_ema200_q1 & vol_5_20_q4,99,0.18181818181818182,1.988013468013468,51,0.23529411764705882,2.6989404457435144,37,0.2702702702702703,2.8067700987306066,0.2527821939586645,0.23529411764705882
4,atr_ratio_q2 & bb_width_q1 & pos_in_range_20_q1 & vol_5_20_q4,91,0.2087912087912088,2.282938542938543,37,0.24324324324324326,2.7901208662078227,34,0.23529411764705882,2.4435410271301747,0.23926868044515104,0.23529411764705882
4,bb_width_q1 & macd_hist_q1 & rsi_14_q1 & vol_5_20_q4,71,0.2676056338028169,2.9260198226395406,40,0.225,2.5808618012422357,45,0.24444444444444444,2.5385676226296816,0.23472222222222222,0.225
4,atr_ratio_q2 & bb_pos_q1 & bb_width_q1 & sess_overlap_1,97,0.1958762886597938,2.1417258495609013,36,0.2222222222222222,2.548999309868875,32,0.21875,2.2717295486600846,0.2204861111111111,0.21875
4,atr_ratio_q2 & bb_pos_q1 & bb_width_q1 & h_3,97,0.1958762886597938,2.1417258495609013,36,0.2222222222222222,2.548999309868875,32,0.21875,2.2717295486600846,0.2204861111111111,0.21875
4,bb_width_q1 & dist_ema200_q1 & sess_ny_0 & vol_5_20_q4,93,0.23655913978494625,2.5865551573078456,38,0.21052631578947367,2.4148414514547234,38,0.21052631578947367,2.1863261821691036,0.21052631578947367,0.21052631578947367
