fold,train_n,test_n,auc,acc,pos_rate_test
1,146,73,0.43808777429467083,0.3698630136986301,0.3972602739726027
2,219,73,0.4937984496124031,0.4931506849315068,0.589041095890411
3,292,73,0.5060975609756098,0.4657534246575342,0.5616438356164384
4,365,73,0.6677115987460815,0.589041095890411,0.6027397260273972
