size,recipe,n_IS,rate_IS,lift_IS,p_IS,n_OOS,rate_OOS,lift_OOS,valid_OOS
3,atr_ratio_q1 & dist_ema200_q3 & dow_4,117,0.1623931623931624,2.2597670875616496,0.0008511270998651585,27,0.037037037037037035,0.5769569041336852,False
3,dist_ema200_q3 & dow_4 & trend_20_50_1,321,0.1557632398753894,2.16750901167989,3.4751412724050067e-07,109,0.11009174311926606,1.7149911645808624,True
3,atr_14_q1 & dist_ema200_q3 & trend_20_50_1,484,0.15082644628099173,2.0988115153179696,2.9831389887307384e-09,191,0.03664921465968586,0.5709154705825471,False
3,atr_ratio_q1 & dist_ema200_q3 & trend_20_50_1,469,0.14712153518123666,2.0472561662984172,1.765587096563652e-08,149,0.026845637583892617,0.4181969506472349,False
3,atr_ratio_q1 & dist_ema200_q3 & macd_hist_q3,226,0.14601769911504425,2.0318958372323075,0.00013691240095274956,71,0.04225352112676056,0.658218439927162,False
3,atr_ratio_q1 & macd_hist_q3 & trend_20_50_1,411,0.145985401459854,2.0314464021875756,2.4758985550323086e-07,172,0.06395348837209303,0.9962569798122355,False
3,atr_ratio_q1 & dow_4 & trend_20_50_1,220,0.1409090909090909,1.9608074704751441,0.0003377925530548098,60,0.1,1.55778364116095,True
3,dist_ema200_q3 & dow_4 & macd_hist_q3,101,0.13861386138613863,1.9288684155424607,0.01808291953887294,30,0.1,1.55778364116095,True
3,atr_14_q1 & macd_hist_q3 & trend_20_50_1,536,0.13619402985074627,1.8951954727871219,2.2783762067370852e-07,213,0.06103286384976526,0.9507599687836784,False
3,atr_14_q1 & dist_ema200_q3 & macd_hist_q3,278,0.13309352517985612,1.8520506857353998,0.00028169934810959177,93,0.03225806451612903,0.5025108519874032,False
3,atr_14_q1 & macd_hist_q3 & pos_in_range_20_q4,423,0.13238770685579196,1.842228935884525,1.1662093501788202e-05,170,0.08235294117647059,1.2828806456619588,True
3,atr_ratio_q1 & dist_ema200_q4 & macd_hist_q3,281,0.13167259786476868,1.8322779026136693,0.000440318535998233,88,0.07954545454545454,1.2391460781962103,True
3,atr_14_q1 & dist_ema50_q4 & macd_hist_q3,428,0.1261682242990654,1.7556822994607109,7.062947609170712e-05,160,0.05625,0.8762532981530344,False
3,atr_14_q1 & dist_ema200_q3 & dow_4,127,0.12598425196850394,1.7531222494469159,0.02471726804650643,22,0.045454545454545456,0.7080834732549773,False
3,dow_4 & macd_hist_q3 & trend_20_50_1,240,0.125,1.7394259818731117,0.0036087445405475933,103,0.10679611650485436,1.6636524323078106,True
