symbol,n_weekends,gap_abs_pct_mean,gap_abs_pct_median,gap_abs_pct_std,gap_abs_pct_p75,gap_abs_pct_p90,gap_abs_pct_p95,gap_pct_mean_signed,pct_significant,pct_continuation,pct_fade,pnl_cont_mean_pct,pnl_cont_win_rate_pct,pnl_cont_sharpe,pnl_fade_mean_pct,pnl_fade_win_rate_pct,pnl_fade_sharpe,oracle_edge_pct,best_naive,best_naive_edge_pct,bias_strength
GBPNOK,260,0.38592196522365013,0.34527050605431664,0.30716997498283627,0.494340722028418,0.6924600039106712,0.872090230424557,-0.3536601116136713,78.84615384615384,53.07692307692308,45.76923076923077,0.002352594468265405,53.07692307692308,0.03439319012952515,-0.002352594468265405,45.76923076923077,-0.03439319012952515,0.38592196522365013,continuation,0.002352594468265405,3.07692307692308
USDNOK,260,0.33506172847518967,0.2923446379592235,0.27419051490903373,0.4379702810714895,0.6982450922884704,0.8258616175697,-0.29335926424347575,73.07692307692307,48.07692307692308,51.53846153846153,-0.059004714974130866,48.07692307692308,-0.9919965177589974,0.059004714974130866,51.53846153846153,0.9919965177589974,0.33506172847518967,fade,0.059004714974130866,1.9230769230769198
EURNOK,260,0.3213211915126374,0.2700823361983274,0.296513532719805,0.406615529547518,0.6698947421143621,0.752211786952754,-0.30954914323214744,71.53846153846153,49.61538461538461,50.38461538461539,-0.02886656099143256,49.61538461538461,-0.4766367526491219,0.02886656099143256,50.38461538461539,0.4766367526491219,0.3213211915126374,fade,0.02886656099143256,0.3846153846153868
XAGUSD,260,0.3204049582078722,0.15648690530459763,0.49298636387325334,0.340424532401449,0.6928832644587452,1.3516817776040444,0.016451550088718785,51.92307692307693,54.230769230769226,44.61538461538462,0.05293216618931429,54.230769230769226,0.6520818253218001,-0.05293216618931429,44.61538461538462,-0.6520818253218001,0.3204049582078722,continuation,0.05293216618931429,4.230769230769226
XAGEUR,260,0.3177885795624321,0.15833300064087122,0.5026692868333456,0.32911621204122143,0.6794825018126999,1.1958567427444302,0.02873840216389653,51.53846153846153,55.769230769230774,44.230769230769226,0.04308756735369833,55.769230769230774,0.5235567649947499,-0.04308756735369833,44.230769230769226,-0.5235567649947499,0.3177885795624321,continuation,0.04308756735369833,5.769230769230774
GBPSEK,260,0.29448840804989157,0.25711413930715943,0.22372968061527873,0.3991894262213171,0.5440647573456809,0.6990313925342777,-0.2553966048747653,73.84615384615385,48.07692307692308,51.153846153846146,-0.01830177662470496,48.07692307692308,-0.35685222689844287,0.01830177662470496,51.153846153846146,0.35685222689844287,0.29448840804989157,fade,0.01830177662470496,1.9230769230769198
USDSEK,260,0.2865427683991498,0.2430858386625013,0.23311077788926435,0.38351549785665195,0.5792803676225983,0.6912978103281594,-0.2364646054332139,70.0,45.38461538461539,54.61538461538461,-0.04296442222897969,45.38461538461539,-0.8435025929850759,0.04296442222897969,54.61538461538461,0.8435025929850759,0.2865427683991498,fade,0.04296442222897969,4.615384615384613
EURZAR,258,0.2848579098757753,0.20508998634288972,0.38104722510043404,0.3747165056893623,0.6235351586377387,0.7445921015636342,-0.17577348072526447,59.30232558139535,51.93798449612403,48.06201550387597,0.010409317089896664,51.93798449612403,0.15770440211019846,-0.010409317089896664,48.06201550387597,-0.15770440211019846,0.2848579098757753,continuation,0.010409317089896664,1.937984496124031
USDZAR,260,0.26929267209392277,0.19839693399329184,0.2781281983568892,0.33571301710449447,0.6328678159006972,0.7857849202335279,-0.17326032229089056,60.38461538461538,46.15384615384615,53.46153846153846,-0.022540284476076113,46.15384615384615,-0.42017643464906806,0.022540284476076113,53.46153846153846,0.42017643464906806,0.26929267209392277,fade,0.022540284476076113,3.8461538461538467
NZDCHF,260,0.24834587406568137,0.21694526101155104,0.19010537865347013,0.34490222743279497,0.48758928077340313,0.5945891838488927,-0.21756747723471204,65.0,51.53846153846153,48.46153846153846,-0.002352136333931352,51.53846153846153,-0.054168164406471264,0.002352136333931352,48.46153846153846,0.054168164406471264,0.24834587406568137,fade,0.002352136333931352,1.538461538461533
EURSEK,260,0.2453774718504514,0.18578513317173506,0.21307971849352653,0.30529413770572855,0.49406061369243265,0.6543948363630977,-0.23200126493204765,61.92307692307693,46.92307692307692,53.07692307692308,-0.04601156859577746,46.92307692307692,-1.0302362390701658,0.04601156859577746,53.07692307692308,1.0302362390701658,0.2453774718504514,fade,0.04601156859577746,3.07692307692308
EURMXN,260,0.23587232889221088,0.15790664327779524,0.26236270755317637,0.27937490264778064,0.513858965581788,0.817335835195183,-0.1965348097889408,52.69230769230769,57.30769230769231,42.69230769230769,-0.007055933575284555,57.30769230769231,-0.14412407550667988,0.007055933575284555,42.69230769230769,0.14412407550667988,0.23587232889221088,fade,0.007055933575284555,7.307692307692307
USDMXN,260,0.22461712736570674,0.1435414095214655,0.2903981942735439,0.2680315850229792,0.4600725623612937,0.699393900832607,-0.1515281247221106,48.84615384615385,53.07692307692308,46.92307692307692,-0.04201707353383921,53.07692307692308,-0.8301656179281252,0.04201707353383921,46.92307692307692,0.8301656179281252,0.22461712736570674,fade,0.04201707353383921,3.07692307692308
USDPLN,260,0.21416498463583006,0.16163756776986823,0.22312972825188934,0.2658263817413177,0.4089304705247545,0.607650075835153,-0.14502003555226023,54.230769230769226,49.61538461538461,50.38461538461539,-0.03702855247113903,49.61538461538461,-0.8688159189187978,0.03702855247113903,50.38461538461539,0.8688159189187978,0.21416498463583006,fade,0.03702855247113903,0.3846153846153868
NZDJPY,260,0.20987406163119773,0.159606083756415,0.19537702157258438,0.2914056563484349,0.4368487329830594,0.5734278777825752,-0.1405230221294605,53.46153846153846,43.07692307692308,56.53846153846154,-0.042353356632902,43.07692307692308,-1.075852182515257,0.042353356632902,56.53846153846154,1.075852182515257,0.20987406163119773,fade,0.042353356632902,6.92307692307692
AUDCHF,260,0.20873288141134957,0.18061281600111656,0.17619320599376578,0.28297039364652,0.40329762057430774,0.48543766654875364,-0.1720060516258065,60.0,50.76923076923077,48.46153846153846,0.010614745203460188,50.76923076923077,0.28197592137267175,-0.010614745203460188,48.46153846153846,-0.28197592137267175,0.20873288141134957,continuation,0.010614745203460188,0.7692307692307665
NZDSGD,260,0.20214761550514596,0.16145947855954856,0.18139252605818515,0.259078922110959,0.3956847625427039,0.49140132135699666,-0.1574314866549274,53.84615384615385,52.307692307692314,47.69230769230769,-0.005085250927675507,52.307692307692314,-0.13489492014369922,0.005085250927675507,47.69230769230769,0.13489492014369922,0.20214761550514596,fade,0.005085250927675507,2.3076923076923137
XAUEUR,260,0.18042869154261973,0.07798560645815932,0.3013375246380687,0.19678525556649634,0.4225411614480836,0.6689337099306459,0.03455195418405717,34.23076923076923,48.46153846153846,50.0,0.005914487089180143,48.46153846153846,0.12138758740694598,-0.005914487089180143,50.0,-0.12138758740694598,0.18042869154261973,continuation,0.005914487089180143,1.53846153846154
