size,recipe,n_IS,rate_IS,lift_IS,p_IS,n_OOS,rate_OOS,lift_OOS,valid_OOS
3,dow_2 & ema50_slope_q1 & htf_trend_0,93,0.6559139784946236,1.8718338196692916,2.5503996731979073e-09,0,,,False
3,atr_14_q2 & dow_2 & htf_trend_0,99,0.6363636363636364,1.81604145544666,8.901955836016011e-09,0,,,False
3,dow_2 & htf_trend_0 & macd_hist_q4,150,0.5933333333333334,1.693242461792648,1.640864574604666e-09,0,,,False
3,dow_2 & ema50_slope_q1 & macd_hist_q4,150,0.58,1.6551920693928128,1.4152175032395392e-08,90,0.4888888888888889,1.3957446808510638,True
3,atr_14_q2 & dow_2 & macd_hist_q4,160,0.575,1.6409231722428748,9.482988845087002e-09,84,0.40476190476190477,1.1555678364189004,True
3,atr_14_q2 & dow_2 & ema50_slope_q1,104,0.5576923076923077,1.5915308359546279,1.9089110559953628e-05,35,0.5428571428571428,1.5498203923735838,True
3,atr_14_q2 & ema50_slope_q1 & htf_trend_0,93,0.5483870967741935,1.5649758164448175,0.00011616360152572655,0,,,False
3,dow_2 & htf_trend_0 & trend_20_50_0,138,0.5434782608695652,1.5509670815150045,4.095855698638387e-06,0,,,False
3,atr_14_q2 & dow_2 & trend_20_50_0,210,0.5380952380952381,1.5356051218504752,3.9241419857208816e-08,86,0.5465116279069767,1.5602536997885834,True
2,dow_2 & htf_trend_0,389,0.5167095115681234,1.474574975392055,2.029731287842234e-11,0,,,False
3,bb_pos_q1 & dow_2 & htf_trend_0,49,0.5102040816326531,1.456009913258984,0.024023960506934786,0,,,False
3,ema50_slope_q1 & htf_trend_0 & macd_hist_q4,186,0.5,1.4268897149938042,2.974417556894359e-05,0,,,False
3,bb_pos_q1 & ema50_slope_q1 & htf_trend_0,213,0.49765258215962443,1.4201907022473546,1.0560024912709222e-05,0,,,False
3,dow_2 & macd_hist_q4 & trend_20_50_0,282,0.49645390070921985,1.4167699297810823,5.04594650100479e-07,138,0.4855072463768116,1.3860903204103945,True
3,atr_14_q2 & htf_trend_0 & macd_hist_q4,162,0.49382716049382713,1.4092737925864733,0.00019322295961811305,0,,,False
2,atr_14_q2 & dow_2,442,0.47285067873303166,1.349411540424005,1.4201136080668368e-07,237,0.4177215189873418,1.1925666576892002,True
3,ema50_slope_q1 & htf_trend_0 & trend_20_50_0,541,0.4658040665434381,1.329302063506243,3.396728250816446e-08,0,,,False
3,atr_14_q2 & htf_trend_0 & trend_20_50_0,171,0.4619883040935672,1.3184127191170822,0.0029163122521062004,0,,,False
2,ema50_slope_q1 & htf_trend_0,574,0.45993031358885017,1.312539668147611,6.656261182255006e-08,0,,,False
3,htf_trend_0 & macd_hist_q4 & trend_20_50_0,254,0.43700787401574803,1.247124081608758,0.004605944972299826,0,,,False
2,dow_2 & macd_hist_q4,515,0.4368932038834951,1.2467968383441008,5.6167738623764364e-05,290,0.3896551724137931,1.1124391382645236,True
3,atr_14_q2 & bb_pos_q1 & ema50_slope_q1,190,0.4368421052631579,1.2466510141524818,0.014782252647641533,92,0.31521739130434784,0.8999243125052562,False
3,bb_pos_q1 & htf_trend_0 & trend_20_50_0,348,0.4367816091954023,1.2464783717187258,0.0008971624434345911,0,,,False
3,atr_14_q2 & ema50_slope_q1 & macd_hist_q4,307,0.43322475570032576,1.2363278963789968,0.0027453231114956266,114,0.3508771929824561,1.0017306321897588,True
2,htf_trend_0 & macd_hist_q4,629,0.4276629570747218,1.2204557498675148,6.9414088088134e-05,0,,,False
2,dow_2 & ema50_slope_q1,499,0.4248496993987976,1.2124273329807074,0.0006028299651869859,198,0.41919191919191917,1.1967645507297344,True
3,atr_14_q2 & macd_hist_q4 & trend_20_50_0,507,0.42209072978303747,1.2045538422432904,0.0009310438084051956,181,0.3314917127071823,0.9463863983671201,False
2,atr_14_q2 & htf_trend_0,473,0.42071881606765327,1.2006387031026091,0.0017037649193125974,0,,,False
2,dow_2 & trend_20_50_0,1006,0.415506958250497,1.1857652104719885,1.96935260703802e-05,372,0.45698924731182794,1.3046733636987584,True
2,atr_14_q2 & ema50_slope_q1,766,0.40992167101827676,1.1698260326581058,0.0006469577667128257,300,0.32,0.91357833655706,False
2,htf_trend_0 & trend_20_50_0,1160,0.4086206896551724,1.1661133188052815,4.179302751309962e-05,0,,,False
2,atr_14_q2 & trend_20_50_0,1519,0.40355497037524685,1.1516568733261383,1.8700569622795608e-05,558,0.33154121863799285,0.9465277344481189,False
2,atr_14_q2 & macd_hist_q4,947,0.4033790918690602,1.1511549548630058,0.0007397977691524792,390,0.32051282051282054,0.9150424044041067,False
