size,recipe,n_IS,rate_IS,lift_IS,p_IS,n_OOS,rate_OOS,lift_OOS,valid_OOS
3,bb_width_q3 & dow_3 & streak_up_5p,30,0.7666666666666667,2.0498839009287924,1.4623292613661615e-05,0,,,False
3,atr_14_q2 & dow_3 & streak_up_5p,31,0.5806451612903226,1.5525067412363927,0.024436897327943102,0,,,False
3,bb_width_q3 & htf_trend_-1 & streak_up_5p,88,0.5454545454545454,1.458415423585702,0.0012737466666574327,36,0.4444444444444444,1.1453513749454387,True
3,dow_3 & htf_trend_-1 & streak_up_5p,48,0.5416666666666666,1.4482875386996903,0.024112360220682957,0,,,False
3,dow_4 & ema50_slope_q1 & htf_trend_-1,176,0.5340909090909091,1.4280317689276665,1.631555335722818e-05,129,0.43410852713178294,1.1187152964583356,True
2,dow_3 & streak_up_5p,96,0.53125,1.4204358552631577,0.0020616913573871807,34,0.35294117647058826,0.9095437389272603,False
3,atr_14_q2 & dow_3 & htf_trend_-1,225,0.5066666666666667,1.3547058823529412,5.863960385630092e-05,82,0.21951219512195122,0.5656918376254911,False
3,bb_width_q3 & dow_3 & htf_trend_-1,218,0.5045871559633027,1.3491457664668955,0.00010814107418943142,82,0.25609756097560976,0.6599738105630729,False
3,atr_14_q2 & dow_4 & ema50_slope_q1,79,0.4936708860759494,1.3199582631187052,0.035665332685372766,46,0.30434782608695654,0.7843167024082897,False
3,bb_width_q3 & dow_4 & ema50_slope_q1,107,0.48598130841121495,1.299398165562339,0.021124725616605083,46,0.30434782608695654,0.7843167024082897,False
3,bb_width_q3 & dow_5 & htf_trend_-1,178,0.47752808988764045,1.2767962743938497,0.005181658751186747,121,0.47107438016528924,1.2139778003037398,True
3,bb_width_q3 & ema50_slope_q1 & htf_trend_-1,410,0.47560975609756095,1.2716671071509476,2.725465317785199e-05,217,0.41935483870967744,1.0806944424888414,True
2,dow_4 & ema50_slope_q1,398,0.4748743718592965,1.2697008650061452,4.0908845238459656e-05,225,0.36444444444444446,0.9391881274552598,False
3,dow_3 & ema50_slope_q1 & htf_trend_-1,306,0.4738562091503268,1.266978540642263,0.00038029183854678295,55,0.2,0.5154081187254475,False
2,bb_width_q3 & streak_up_5p,226,0.47345132743362833,1.2658959834516013,0.002428937043124555,79,0.35443037974683544,0.9133814762223119,False
3,atr_14_q2 & bb_width_q3 & dow_5,139,0.4676258992805755,1.2503201772946966,0.028037844835923594,63,0.4126984126984127,1.063540562449336,True
2,dow_3 & htf_trend_-1,852,0.465962441314554,1.245872487245454,4.5732161050645745e-08,380,0.35789473684210527,0.9223092650876428,False
3,bb_width_q3 & dow_3 & ema50_slope_q1,147,0.46258503401360546,1.2368421052631577,0.03271429988835875,31,0.16129032258064516,0.41565170864955436,False
2,bb_width_q3 & dow_5,485,0.44948453608247424,1.2018144968242315,0.0007143590495974745,241,0.45228215767634855,1.165549480105265,True
2,atr_14_q2 & dow_4,472,0.4470338983050847,1.1952620756152594,0.0012018571952165207,181,0.3259668508287293,0.8400298067624695,False
2,bb_width_q3 & ema50_slope_q1,806,0.44044665012406947,1.1776493443139302,0.00011242946585488103,350,0.37142857142857144,0.9571865062044024,False
1,nan,285,0.43157894736842106,1.1539392211178099,0.04995182008660995,0,,,False
